MemberName,CharacterName,Class,Level,Race,Main/Alt,Rank,AvailableDKP,EarnedDKP,SpentDKP,ApplicationDate,MembershipDate
Grihl,Grihl,Wizard,60,Dark Elf,main,former,0,89,1,,
Gwydon,Gwydon,Wizard,54,Erudite,main,member,0,0,0,2025-09-06 00:03:06,2025-09-06 00:06:07
Haji,Haji,Paladin,39,Half-Elf,main,applicant,0,0,0,2026-04-06 14:55:12,
HalfTide,Halftizzle,Necromancer,40,Iksar,alternate,member,33,236,211,2026-01-12 12:41:09,2026-02-01 04:02:04
HalfTide,Bestclass,Rogue,27,Half-Elf,alternate,member,33,236,211,2026-01-12 12:41:09,2026-02-01 04:02:04
HalfTide,Gabimaru,Monk,32,Iksar,alternate,member,33,236,211,2026-01-12 12:41:09,2026-02-01 04:02:04
HalfTide,HalfTide,Bard,60,Half-Elf,main,member,33,236,211,2026-01-12 12:41:09,2026-02-01 04:02:04
Hammn,Hammn,Druid,47,Halfling,main,member,5,8,3,2025-10-01 00:05:45,2025-10-13 20:05:26
Hayato,Hayato,Bard,60,Wood Elf,main,member,45,49,4,2026-06-01 04:29:20,2026-06-21 17:00:46
Heretik,Trailslither,Ranger,60,Iksar,main,member,172,641,570,2024-10-28 08:54:33,2024-10-28 21:23:02
Heretik,Arizzen,Cleric,1,Halfling,alternate,member,172,641,570,2024-10-28 08:54:33,2024-10-28 21:23:02
Heretik,Heretik,Shadow Knight,60,Iksar,main,member,172,641,570,2024-10-28 08:54:33,2024-10-28 21:23:02
Heretik,Skuull,Rogue,59,Dwarf,alternate,member,172,641,570,2024-10-28 08:54:33,2024-10-28 21:23:02
Heretik,Halftrack,Ranger,1,Halfling,alternate,member,172,641,570,2024-10-28 08:54:33,2024-10-28 21:23:02
Heretik,Gagreflex,Enchanter,4,Gnome,alternate,member,172,641,570,2024-10-28 08:54:33,2024-10-28 21:23:02
Heretik,Launchpad,Druid,16,Halfling,alternate,member,172,641,570,2024-10-28 08:54:33,2024-10-28 21:23:02
Heretik,Gaul,Beastlord,4,Barbarian,alternate,member,172,641,570,2024-10-28 08:54:33,2024-10-28 21:23:02
