MemberName,CharacterName,Class,Level,Race,Main/Alt,Rank,AvailableDKP,EarnedDKP,SpentDKP,ApplicationDate,MembershipDate
Brgr,Brgr,Cleric,53,Dark Elf,main,member,14,19,5,2025-03-02 20:35:33,2025-03-24 21:44:35
Brochure,Brochure,Shaman,60,Vah Shir,main,member,67,467,400,2025-12-22 01:59:03,2026-01-10 18:23:42
Brochure,Farbod,Wizard,55,Dark Elf,alternate,member,67,467,400,2025-12-22 01:59:03,2026-01-10 18:23:42
Brunda,Brierclaw,Druid,57,Wood Elf,alternate,member,63,195,138,2025-09-26 00:44:38,2025-10-19 03:12:05
Brunda,Aranya,Enchanter,60,Dark Elf,main,member,63,195,138,2025-09-26 00:44:38,2025-10-19 03:12:05
Brunda,Brunda,Shaman,60,Troll,main,member,63,195,138,2025-09-26 00:44:38,2025-10-19 03:12:05
Brunda,Gnominal,Cleric,60,Gnome,alternate,member,63,195,138,2025-09-26 00:44:38,2025-10-19 03:12:05
Brushfoot,Tiller,Ranger,31,Wood Elf,alternate,member,0,0,0,2025-10-08 21:21:08,
Brushfoot,Brushfoot,Druid,46,Halfling,main,member,0,0,0,2025-10-08 21:21:08,
Butdidyoudie,Butdidyoudie,Cleric,44,High Elf,main,inactive,0,0,0,2025-01-17 01:00:15,
Cabshaizi,Cabshaizi,Necromancer,60,Iksar,main,member,118,596,503,2024-10-29 00:44:37,2024-11-18 22:24:51
Canixx,Canix,Necromancer,12,Iksar,alternate,applicant,0,0,0,2026-06-17 04:19:13,
Canixx,Canixx,Monk,46,Iksar,main,applicant,0,0,0,2026-06-17 04:19:13,
Carnal,Carnal,Necromancer,52,Dark Elf,main,applicant,0,0,0,2026-01-31 00:22:50,
Casaka,Casaka,Necromancer,60,Iksar,main,member,8,124,116,2026-01-07 17:39:16,
Chasaris,Chasaris,Beastlord,60,Iksar,main,member,62,201,192,2026-03-21 18:53:28,2026-05-07 00:13:21
Chasaris,Marekis,Necromancer,60,Iksar,main,member,62,201,192,2026-03-21 18:53:28,2026-05-07 00:13:21
Chaunce,Chaunce,Ranger,60,Halfling,main,applicant,92,0,0,2026-08-10 20:02:38,
Chaunce,quetzall,Shaman,60,Iksar,alternate,applicant,92,0,0,2026-08-10 20:02:38,
Chaunce,moria,Cleric,60,Dwarf,alternate,applicant,92,0,0,2026-08-10 20:02:38,
Chaunce,rilifain,Druid,60,Wood Elf,alternate,applicant,92,0,0,2026-08-10 20:02:38,
Clereron,Clereron,Cleric,60,High Elf,main,member,13,102,89,2026-01-09 20:23:09,2026-02-01 04:00:53
Cloudspark,Cloudspark,Magician,52,Gnome,main,former,0,34,9,,
Condiar,Larkorak,Shaman,25,Vah Shir,alternate,member,26,387,377,2026-02-08 01:03:50,2026-03-01 01:15:51
Condiar,Reiken,Wizard,21,Barbarian,alternate,member,26,387,377,2026-02-08 01:03:50,2026-03-01 01:15:51
Condiar,Becan,Druid,48,Halfling,alternate,member,26,387,377,2026-02-08 01:03:50,2026-03-01 01:15:51
Condiar,Condiar,Paladin,60,High Elf,main,member,26,387,377,2026-02-08 01:03:50,2026-03-01 01:15:51
Condiar,Phorest,Bard,30,Human,alternate,member,26,387,377,2026-02-08 01:03:50,2026-03-01 01:15:51
Condiar,Sargas,Magician,60,High Elf,main,member,26,387,377,2026-02-08 01:03:50,2026-03-01 01:15:51
Corr,Iomaden,Rogue,14,Half-Elf,alternate,applicant,0,0,0,2026-04-22 06:23:13,
Corr,Corr,Ranger,43,Halfling,main,applicant,0,0,0,2026-04-22 06:23:13,
Craklyn,Craklyn,Monk,52,Iksar,main,officer,8,9,1,2024-11-01 18:20:10,
Cronlin,CRONLIN,Monk,60,Iksar,main,member,2,2,0,2026-04-18 23:05:22,
Cusswords,Difficult,Paladin,60,Halfling,alternate,member,50,201,191,2026-04-15 15:27:31,2026-05-07 00:11:32
Cusswords,Cringe,Druid,60,Half-Elf,alternate,member,50,201,191,2026-04-15 15:27:31,2026-05-07 00:11:32
Cusswords,Dismy,Beastlord,60,Dark Elf,main,member,50,201,191,2026-04-15 15:27:31,2026-05-07 00:11:32
Cusswords,Cusswords,Ranger,60,Halfling,main,member,50,201,191,2026-04-15 15:27:31,2026-05-07 00:11:32
Cyboogie,Cyboogie,Monk,60,Iksar,main,member,59,76,82,2026-06-03 01:22:34,2026-06-22 17:00:32
Cyrotonic,Cyrotonic,Shaman,60,Iksar,main,officer,56,1589,1577,2024-10-23 00:29:33,
Cyrotonic,Dryker,Warrior,52,Dwarf,alternate,officer,56,1589,1577,2024-10-23 00:29:33,
Cyrotonic,Sloppyflops,Monk,60,Iksar,alternate,officer,56,1589,1577,2024-10-23 00:29:33,
Cyrotonic,Meowz,Beastlord,34,Vah Shir,alternate,officer,56,1589,1577,2024-10-23 00:29:33,
Cyrotonic,Faith,Paladin,33,High Elf,alternate,officer,56,1589,1577,2024-10-23 00:29:33,
Cyrotonic,Thebanker,Warrior,1,Barbarian,alternate,officer,56,1589,1577,2024-10-23 00:29:33,
Cyrotonic,Ambien,Enchanter,60,Dwarf,main,officer,56,1589,1577,2024-10-23 00:29:33,
Cyrotonic,Grimtonic,Shadow Knight,21,Iksar,alternate,officer,56,1589,1577,2024-10-23 00:29:33,
Cyttotank,Cyttotank,Warrior,51,Ogre,main,inactive,5,5,0,2025-03-17 00:14:33,
Dagnasty,Dagnasty,Necromancer,60,Iksar,main,former,0,152,119,,
Dagnasty,Boofd,Shaman,46,Ogre,alternate,former,0,152,119,,
Dahl,Dahlmule,Warrior,1,Ogre,alternate,inactive,49,54,5,2024-10-23 02:18:16,
Dahl,Dahlias,Wizard,1,Erudite,main,inactive,49,54,5,2024-10-23 02:18:16,
Dahl,Dahli,Cleric,1,Dwarf,alternate,inactive,49,54,5,2024-10-23 02:18:16,
Dahl,Dahl,Monk,60,Human,main,inactive,49,54,5,2024-10-23 02:18:16,
Daluna,Adalun,Enchanter,12,Gnome,alternate,member,199,818,635,2024-11-21 00:17:53,2025-01-05 05:00:12
Daluna,Daluna,Druid,60,Halfling,main,member,199,818,635,2024-11-21 00:17:53,2025-01-05 05:00:12
Danrather,Schizophrenic,Enchanter,36,High Elf,alternate,member,23,30,7,2025-10-20 03:53:58,2025-11-10 23:09:49
Danrather,Wulvgeng,Ranger,58,Wood Elf,alternate,member,23,30,7,2025-10-20 03:53:58,2025-11-10 23:09:49
Danrather,Danrather,Necromancer,60,Dark Elf,main,member,23,30,7,2025-10-20 03:53:58,2025-11-10 23:09:49
Danrather,Edsheeran,Bard,36,Half-Elf,alternate,member,23,30,7,2025-10-20 03:53:58,2025-11-10 23:09:49
Danshir,Ascalan,Necromancer,1,Iksar,alternate,officer,11,561,570,2024-10-25 22:52:57,
Danshir,Danshir,Beastlord,60,Iksar,main,officer,11,561,570,2024-10-25 22:52:57,
Danshir,Ceallac,Cleric,49,Dark Elf,alternate,officer,11,561,570,2024-10-25 22:52:57,
Danshir,Shirow,Shaman,60,Iksar,alternate,officer,11,561,570,2024-10-25 22:52:57,
Danshir,Lonnlarcan,Druid,60,Wood Elf,alternate,officer,11,561,570,2024-10-25 22:52:57,
Danshir,Hadrhune,Magician,60,Dark Elf,main,officer,11,561,570,2024-10-25 22:52:57,
Danshir,Ahrimin,Ranger,51,Wood Elf,alternate,officer,11,561,570,2024-10-25 22:52:57,
Darkochanter,Darkoranger,Ranger,1,Wood Elf,alternate,member,249,758,539,2025-11-02 23:20:30,2025-12-06 02:37:22
Darkochanter,Darkochanter,Enchanter,60,High Elf,main,member,249,758,539,2025-11-02 23:20:30,2025-12-06 02:37:22
Darkochanter,Darkowar,Warrior,60,Ogre,alternate,member,249,758,539,2025-11-02 23:20:30,2025-12-06 02:37:22
Darkochanter,Darkocoth,Magician,1,Gnome,alternate,member,249,758,539,2025-11-02 23:20:30,2025-12-06 02:37:22
Darkochanter,Darkonites,Bard,60,Half-Elf,main,member,249,758,539,2025-11-02 23:20:30,2025-12-06 02:37:22
Darkthoughts,Darkthoughts,Rogue,60,Dark Elf,main,member,34,1661,1684,2024-10-26 16:11:03,2024-10-28 21:17:03
Darkthoughts,Pervasive,Enchanter,46,Dark Elf,alternate,member,34,1661,1684,2024-10-26 16:11:03,2024-10-28 21:17:03
Darkthoughts,Narnia,Beastlord,54,Vah Shir,alternate,member,34,1661,1684,2024-10-26 16:11:03,2024-10-28 21:17:03
Darkthoughts,Dragonstail,Monk,52,Iksar,alternate,member,34,1661,1684,2024-10-26 16:11:03,2024-10-28 21:17:03
Darkthoughts,Fastsole,Druid,60,Wood Elf,main,member,34,1661,1684,2024-10-26 16:11:03,2024-10-28 21:17:03
